Sentence,Revision,Jaccard,Weighted Jaccard
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_008,0.18997361477572558,0.19540276123922687
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_017,0.26240208877284593,0.27715063549889785
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_026,0.312987012987013,0.32721581114312803
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_035,0.3215686274509804,0.33995348607728865
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_044,0.3215686274509804,0.33805354948024435
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_053,0.3145478374836173,0.32930848938293006
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_062,0.3261964735516373,0.3485361511640354
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_071,0.355297157622739,0.385051526038452
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_080,0.39715394566623546,0.42804465757529225
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_089,0.38722294654498046,0.42324029314783795
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_098,0.38946015424164526,0.4231682598211426
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_107,0.3754889178617992,0.40481500726091413
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_116,0.390745501285347,0.42580084291366416
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_125,0.3886743886743887,0.42314887209654356
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_134,0.44458762886597936,0.4626273197696944
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_143,0.36150845253576075,0.3930843166184899
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_152,0.4106910039113429,0.4389762333008563
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_161,0.34300791556728233,0.38382287789240366
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_170,0.49288486416558863,0.530519060485003
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_179,0.3756544502617801,0.404252280710108
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_188,0.48253557567917205,0.5297932408253763
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_197,0.3544973544973545,0.3789793694219303
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_206,0.48616600790513836,0.5221085616051906
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_215,0.4674479166666667,0.5086817443367522
"Sarah was a much better surgeon than Maria, so the harder cases always went to",ckpt_224,0.48378728923476005,0.529521791336157
